[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 1047: was 0x00000000fef1ed88
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000000fef1ed88
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 75: was 0x00000000fef022d8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000000fef022d8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 76: was 0x00000000fef02348
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 77: was 0x00000000fef02360
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000000fef02360
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 78: was 0x00000000fef023d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000000fef023d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 482: was 0x00000000fef0d530
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Runnable archived mirror 0x00000000fef0d530
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 845: was 0x00000000fef170c8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000000fef170c8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 31: was 0x00000000fef00f38
